tickSequence,exchangeName,stockName,highPrice,lifeTimeHighPrice,lifeTimeLowPrice,dayHighPrice,lastTradedPrice,week52HighPrice,week52LowPrice,bestBidPrice,bestAskPrice,dayOpenPrice,dayClosePrice,prevDayClosePrice,dayLowPrice,highPriceRange,lowPriceRange,absolutePriceChange,percentPriceChange,bestBidQuantity,bestAskQuantity,dayVolume,date,lastTradedTime
1,BSE,DLFLIM,220.05,1225.0,72.5,201.7,200.9,215.8,101.05,200.75,200.95,200.0,200.05,200.05,200.0,220.05,180.05,0.85,0.42,497,960,12161,2017-07-19,09:20:16.000
1,NSE,DLFLIM,220.05,1225.0,72.35,201.8,200.8,216.0,101.0,200.8,200.85,201.5,200.05,200.05,200.75,220.05,180.05,0.75,0.37,240,5544,198140,2017-07-19,09:20:16
1,BSE,TCS,2645.75,2834.0,209.0,2442.0,2438.0,2740.0,2054.7,2437.3,2439.4,2418.0,2405.25,2405.25,2417.3,2645.75,2164.75,32.75,1.36,46,83,3398,2017-07-19,09:20:17.000
1,BSE,HDIL,93.3,1113.78,26.1,85.5,85.3,104.65,52.25,85.2,85.4,85.1,84.85,84.85,85.1,93.3,76.4,0.45,0.53,7342,10597,24572,2017-07-19,09:20:17.000
1,NSE,TCS,2649.15,2839.7,207.68,2444.5,2439.15,2744.8,2051.9,2439.6,2440.0,2415.5,2408.35,2408.35,2415.1,2649.15,2167.55,30.8,1.28,1,219,94679,2017-07-19,09:20:16
1,NSE,HDIL,93.35,1113.74,26.1,85.5,85.3,104.75,52.3,85.25,85.3,85.15,84.9,84.9,85.15,93.35,76.45,0.4,0.47,5583,5581,281366,2017-07-19,09:20:13
3,BSE,INFTEC,1083.9,1278.0,0.28,989.4,986.0,1097.1,900.3,986.3,986.95,989.0,985.4,985.4,981.9,1083.9,886.9,0.6,0.06,51,197,4233,2017-07-19,09:20:16.000
3,NSE,INFTEC,1084.15,1279.3,1.41,988.65,986.55,1096.5,901.0,986.55,986.8,981.45,985.6,985.6,981.0,1084.15,887.05,0.95,0.1,64,1020,113169,2017-07-19,09:20:16
3,BSE,SUBSYS,12.15,803.25,4.41,10.26,10.26,13.68,8.25,10.25,10.26,10.2,10.13,10.13,10.2,12.15,8.11,0.13,1.28,3788,27,4023,2017-07-19,09:19:57.000
3,NSE,SUBSYS,12.15,790.0,4.4,10.3,10.3,13.7,8.2,10.25,10.3,10.2,10.15,10.15,10.2,12.15,8.15,0.15,1.48,20995,44547,40277,2017-07-19,09:19:42
2,BSE,GOLDEX,3049.36,3118.0,1526.0,2548.71,2548.41,2920.0,2452.0,2548.19,2552.0,2548.71,2545.63,2545.63,2548.41,3049.36,2032.91,2.78,0.11,9,10,20,2017-07-19,09:20:17.000
2,NSE,GOLDEX,3049.35,3119.0,797.0,2560.0,2550.15,2918.8,2475.5,2551.0,2553.3,2560.0,2545.35,2545.35,2548.05,3049.35,2032.95,4.8,0.19,1,7,104,2017-07-19,09:20:08
3,BSE,HCLINF,66.9,299.95,3.61,57.8,56.2,64.85,37.55,56.15,56.2,57.8,55.75,55.75,55.25,66.9,44.6,0.45,0.81,878,350,405763,2017-07-19,09:20:17.000
3,NSE,HCLINF,66.8,290.0,3.65,57.35,56.2,64.9,37.55,56.15,56.2,56.9,55.7,55.7,55.35,66.8,44.6,0.5,0.9,1800,638,2032713,2017-07-19,09:20:14
2,BSE,GVKPOW,9.28,93.5,4.13,7.91,7.9,9.22,5.05,7.82,7.85,7.72,7.74,7.74,7.72,9.28,6.2,0.16,2.07,2881,6912,32480,2017-07-19,09:20:13.000
2,NSE,GVKPOW,9.2,92.9,4.1,7.9,7.8,9.2,5.0,7.8,7.85,7.9,7.7,7.7,7.8,9.2,6.2,0.1,1.3,66259,49010,98098,2017-07-19,09:20:12
2,BSE,DLFLIM,220.05,1225.0,72.5,201.7,200.9,215.8,101.05,200.75,200.95,200.0,200.05,200.05,200.0,220.05,180.05,0.85,0.42,497,960,12161,2017-07-19,09:20:16.000
2,NSE,DLFLIM,220.05,1225.0,72.35,201.8,200.8,216.0,101.0,200.8,200.85,201.5,200.05,200.05,200.75,220.05,180.05,0.75,0.37,240,5544,198140,2017-07-19,09:20:16
2,BSE,TCS,2645.75,2834.0,209.0,2442.0,2438.0,2740.0,2054.7,2437.3,2439.4,2418.0,2405.25,2405.25,2417.3,2645.75,2164.75,32.75,1.36,46,83,3398,2017-07-19,09:20:17.000
2,NSE,TCS,2649.15,2839.7,207.68,2444.5,2439.15,2744.8,2051.9,2439.6,2440.0,2415.5,2408.35,2408.35,2415.1,2649.15,2167.55,30.8,1.28,1,219,94679,2017-07-19,09:20:16
4,BSE,INFTEC,1083.9,1278.0,0.28,989.4,986.0,1097.1,900.3,986.3,986.95,989.0,985.4,985.4,981.9,1083.9,886.9,0.6,0.06,51,197,4233,2017-07-19,09:20:16.000
2,BSE,HDIL,93.3,1113.78,26.1,85.5,85.3,104.65,52.25,85.2,85.4,85.1,84.85,84.85,85.1,93.3,76.4,0.45,0.53,7342,10597,24572,2017-07-19,09:20:17.000
4,NSE,INFTEC,1084.15,1279.3,1.41,988.65,986.55,1096.5,901.0,986.55,986.8,981.45,985.6,985.6,981.0,1084.15,887.05,0.95,0.1,64,1020,113169,2017-07-19,09:20:16
2,NSE,HDIL,93.35,1113.74,26.1,85.5,85.3,104.75,52.3,85.25,85.3,85.15,84.9,84.9,85.15,93.35,76.45,0.4,0.47,5583,5581,281366,2017-07-19,09:20:13
3,BSE,GOLDEX,3049.36,3118.0,1526.0,2548.71,2548.41,2920.0,2452.0,2548.19,2552.0,2548.71,2545.63,2545.63,2548.41,3049.36,2032.91,2.78,0.11,9,10,20,2017-07-19,09:20:17.000
3,NSE,GOLDEX,3049.35,3119.0,797.0,2560.0,2550.15,2918.8,2475.5,2551.0,2553.3,2560.0,2545.35,2545.35,2548.05,3049.35,2032.95,4.8,0.19,1,7,104,2017-07-19,09:20:08
4,BSE,SUBSYS,12.15,803.25,4.41,10.26,10.26,13.68,8.25,10.25,10.26,10.2,10.13,10.13,10.2,12.15,8.11,0.13,1.28,3788,27,4023,2017-07-19,09:19:57.000
4,NSE,SUBSYS,12.15,790.0,4.4,10.3,10.3,13.7,8.2,10.25,10.3,10.2,10.15,10.15,10.2,12.15,8.15,0.15,1.48,20995,44547,40277,2017-07-19,09:19:42
3,BSE,WIPRO,295.5,490.0,0.26,272.0,269.6,283.93,205.0,269.6,270.0,271.0,268.65,268.65,269.6,295.5,241.8,0.95,0.35,1102,1171,3513,2017-07-19,09:20:16.000
3,NSE,WIPRO,295.9,517.5,0.98,270.75,269.65,284.0,204.05,269.65,269.8,270.0,269.0,269.0,269.5,295.9,242.1,0.65,0.24,768,187,54012,2017-07-19,09:20:14
4,BSE,HCLINF,66.9,299.95,3.61,57.8,56.2,64.85,37.55,56.15,56.25,57.8,55.75,55.75,55.25,66.9,44.6,0.45,0.81,878,749,406113,2017-07-19,09:20:17.000
4,NSE,HCLINF,66.8,290.0,3.65,57.35,56.2,64.9,37.55,56.15,56.2,56.9,55.7,55.7,55.35,66.8,44.6,0.5,0.9,1300,543,2034713,2017-07-19,09:20:17
3,BSE,DLFLIM,220.05,1225.0,72.5,201.7,200.9,215.8,101.05,200.75,200.95,200.0,200.05,200.05,200.0,220.05,180.05,0.85,0.42,248,976,12161,2017-07-19,09:20:17.000
3,NSE,DLFLIM,220.05,1225.0,72.35,201.8,200.8,216.0,101.0,200.8,200.85,201.5,200.05,200.05,200.75,220.05,180.05,0.75,0.37,240,5544,198140,2017-07-19,09:20:16
3,BSE,TCS,2645.75,2834.0,209.0,2442.0,2438.0,2740.0,2054.7,2437.3,2439.4,2418.0,2405.25,2405.25,2417.3,2645.75,2164.75,32.75,1.36,46,83,3398,2017-07-19,09:20:17.000
3,NSE,TCS,2649.15,2839.7,207.68,2444.5,2439.15,2744.8,2051.9,2439.6,2440.0,2415.5,2408.35,2408.35,2415.1,2649.15,2167.55,30.8,1.28,1,219,94679,2017-07-19,09:20:16
3,BSE,HDIL,93.3,1113.78,26.1,85.5,85.3,104.65,52.25,85.2,85.4,85.1,84.85,84.85,85.1,93.3,76.4,0.45,0.53,7342,10597,24572,2017-07-19,09:20:17.000
3,NSE,HDIL,93.35,1113.74,26.1,85.5,85.3,104.75,52.3,85.25,85.3,85.15,84.9,84.9,85.15,93.35,76.45,0.4,0.47,5583,5581,281366,2017-07-19,09:20:13
4,BSE,GOLDEX,3049.36,3118.0,1526.0,2548.71,2548.41,2920.0,2452.0,2548.19,2552.0,2548.71,2545.63,2545.63,2548.41,3049.36,2032.91,2.78,0.11,9,10,20,2017-07-19,09:20:17.000
4,NSE,GOLDEX,3049.35,3119.0,797.0,2560.0,2550.15,2918.8,2475.5,2551.0,2553.3,2560.0,2545.35,2545.35,2548.05,3049.35,2032.95,4.8,0.19,1,7,104,2017-07-19,09:20:08
5,BSE,SUBSYS,12.15,803.25,4.41,10.26,10.26,13.68,8.25,10.25,10.26,10.2,10.13,10.13,10.2,12.15,8.11,0.13,1.28,3788,27,4023,2017-07-19,09:19:57.000
5,NSE,SUBSYS,12.15,790.0,4.4,10.3,10.3,13.7,8.2,10.25,10.3,10.2,10.15,10.15,10.2,12.15,8.15,0.15,1.48,20995,44547,40277,2017-07-19,09:19:42
4,BSE,WIPRO,295.5,490.0,0.26,272.0,269.6,283.93,205.0,269.6,270.0,271.0,268.65,268.65,269.6,295.5,241.8,0.95,0.35,1102,1171,3513,2017-07-19,09:20:17.000
4,NSE,WIPRO,295.9,517.5,0.98,270.75,269.65,284.0,204.05,269.65,269.8,270.0,269.0,269.0,269.5,295.9,242.1,0.65,0.24,768,187,54012,2017-07-19,09:20:14
3,BSE,GVKPOW,9.28,93.5,4.13,7.91,7.9,9.22,5.05,7.82,7.85,7.72,7.74,7.74,7.72,9.28,6.2,0.16,2.07,2881,6912,32480,2017-07-19,09:20:13.000
3,NSE,GVKPOW,9.2,92.9,4.1,7.9,7.8,9.2,5.0,7.8,7.85,7.9,7.7,7.7,7.8,9.2,6.2,0.1,1.3,66259,49010,98098,2017-07-19,09:20:12
5,BSE,HCLINF,66.9,299.95,3.61,57.8,56.2,64.85,37.55,56.15,56.25,57.8,55.75,55.75,55.25,66.9,44.6,0.45,0.81,878,749,406113,2017-07-19,09:20:17.000
5,NSE,HCLINF,66.8,290.0,3.65,57.35,56.2,64.9,37.55,56.15,56.2,56.9,55.7,55.7,55.35,66.8,44.6,0.5,0.9,1300,543,2034713,2017-07-19,09:20:17
4,BSE,DLFLIM,220.05,1225.0,72.5,201.7,200.9,215.8,101.05,200.75,200.95,200.0,200.05,200.05,200.0,220.05,180.05,0.85,0.42,248,976,12161,2017-07-19,09:20:17.000
4,NSE,DLFLIM,220.05,1225.0,72.35,201.8,200.8,216.0,101.0,200.8,200.85,201.5,200.05,200.05,200.75,220.05,180.05,0.75,0.37,240,5544,198140,2017-07-19,09:20:16
4,BSE,TCS,2645.75,2834.0,209.0,2442.0,2438.0,2740.0,2054.7,2437.3,2439.4,2418.0,2405.25,2405.25,2417.3,2645.75,2164.75,32.75,1.36,46,83,3398,2017-07-19,09:20:17.000
4,NSE,TCS,2649.15,2839.7,207.68,2444.5,2439.15,2744.8,2051.9,2439.6,2440.0,2415.5,2408.35,2408.35,2415.1,2649.15,2167.55,30.8,1.28,1,219,94679,2017-07-19,09:20:16
5,BSE,INFTEC,1083.9,1278.0,0.28,989.4,986.0,1097.1,900.3,986.3,986.95,989.0,985.4,985.4,981.9,1083.9,886.9,0.6,0.06,79,197,4233,2017-07-19,09:20:17.000
5,NSE,INFTEC,1084.15,1279.3,1.41,988.65,986.55,1096.5,901.0,986.55,986.8,981.45,985.6,985.6,981.0,1084.15,887.05,0.95,0.1,64,1020,113169,2017-07-19,09:20:16
4,BSE,HDIL,93.3,1113.78,26.1,85.5,85.3,104.65,52.25,85.2,85.4,85.1,84.85,84.85,85.1,93.3,76.4,0.45,0.53,7342,10597,24572,2017-07-19,09:20:17.000
4,NSE,HDIL,93.35,1113.74,26.1,85.5,85.3,104.75,52.3,85.25,85.3,85.15,84.9,84.9,85.15,93.35,76.45,0.4,0.47,5583,5581,281366,2017-07-19,09:20:13
5,BSE,GOLDEX,3049.36,3118.0,1526.0,2548.71,2548.41,2920.0,2452.0,2548.19,2552.0,2548.71,2545.63,2545.63,2548.41,3049.36,2032.91,2.78,0.11,9,10,20,2017-07-19,09:20:17.000
5,NSE,GOLDEX,3049.35,3119.0,797.0,2560.0,2550.15,2918.8,2475.5,2551.0,2553.3,2560.0,2545.35,2545.35,2548.05,3049.35,2032.95,4.8,0.19,1,7,104,2017-07-19,09:20:08
6,BSE,SUBSYS,12.15,803.25,4.41,10.26,10.26,13.68,8.25,10.25,10.26,10.2,10.13,10.13,10.2,12.15,8.11,0.13,1.28,3788,27,4023,2017-07-19,09:19:57.000
5,BSE,WIPRO,295.5,490.0,0.26,272.0,269.6,283.93,205.0,269.6,270.0,271.0,268.65,268.65,269.6,295.5,241.8,0.95,0.35,1102,1171,3513,2017-07-19,09:20:17.000
6,BSE,HCLINF,66.9,299.95,3.61,57.8,56.2,64.85,37.55,56.15,56.25,57.8,55.75,55.75,55.25,66.9,44.6,0.45,0.81,878,749,406113,2017-07-19,09:20:17.000
5,NSE,WIPRO,295.9,517.5,0.98,270.75,269.65,284.0,204.05,269.65,269.8,270.0,269.0,269.0,269.5,295.9,242.1,0.65,0.24,768,187,54012,2017-07-19,09:20:14
4,BSE,GVKPOW,9.28,93.5,4.13,7.91,7.9,9.22,5.05,7.82,7.85,7.72,7.74,7.74,7.72,9.28,6.2,0.16,2.07,2881,6912,32480,2017-07-19,09:20:13.000
6,NSE,HCLINF,66.8,290.0,3.65,57.35,56.2,64.9,37.55,56.15,56.2,56.9,55.7,55.7,55.35,66.8,44.6,0.5,0.9,1300,543,2034713,2017-07-19,09:20:17
6,NSE,SUBSYS,12.15,790.0,4.4,10.3,10.3,13.7,8.2,10.25,10.3,10.2,10.15,10.15,10.2,12.15,8.15,0.15,1.48,20995,44547,40277,2017-07-19,09:19:42
4,NSE,GVKPOW,9.2,92.9,4.1,7.9,7.8,9.2,5.0,7.8,7.85,7.9,7.7,7.7,7.8,9.2,6.2,0.1,1.3,66259,49010,98098,2017-07-19,09:20:12
5,BSE,DLFLIM,220.05,1225.0,72.5,201.7,200.9,215.8,101.05,200.75,200.95,200.0,200.05,200.05,200.0,220.05,180.05,0.85,0.42,248,976,12161,2017-07-19,09:20:17.000
5,NSE,DLFLIM,220.05,1225.0,72.35,201.8,200.8,216.0,101.0,200.8,200.85,201.5,200.05,200.05,200.75,220.05,180.05,0.75,0.37,240,5544,198140,2017-07-19,09:20:16
5,BSE,TCS,2645.75,2834.0,209.0,2442.0,2435.4,2740.0,2054.7,2434.2,2434.95,2418.0,2405.25,2405.25,2417.3,2645.75,2164.75,30.15,1.25,180,88,3888,2017-07-19,09:20:18.000
5,NSE,TCS,2649.15,2839.7,207.68,2444.5,2439.15,2744.8,2051.9,2439.6,2440.0,2415.5,2408.35,2408.35,2415.1,2649.15,2167.55,30.8,1.28,1,219,94679,2017-07-19,09:20:16
5,BSE,HDIL,93.3,1113.78,26.1,85.5,85.3,104.65,52.25,85.2,85.4,85.1,84.85,84.85,85.1,93.3,76.4,0.45,0.53,7342,10597,24572,2017-07-19,09:20:17.000
5,NSE,HDIL,93.35,1113.74,26.1,85.5,85.3,104.75,52.3,85.25,85.3,85.15,84.9,84.9,85.15,93.35,76.45,0.4,0.47,5583,5581,281366,2017-07-19,09:20:13
6,BSE,GOLDEX,3049.36,3118.0,1526.0,2548.71,2548.41,2920.0,2452.0,2548.19,2552.0,2548.71,2545.63,2545.63,2548.41,3049.36,2032.91,2.78,0.11,9,10,20,2017-07-19,09:20:17.000
6,NSE,GOLDEX,3049.35,3119.0,797.0,2560.0,2550.15,2918.8,2475.5,2551.0,2553.3,2560.0,2545.35,2545.35,2548.05,3049.35,2032.95,4.8,0.19,1,7,104,2017-07-19,09:20:08
6,BSE,INFTEC,1083.9,1278.0,0.28,989.4,986.0,1097.1,900.3,986.3,986.95,989.0,985.4,985.4,981.9,1083.9,886.9,0.6,0.06,79,197,4233,2017-07-19,09:20:17.000
6,NSE,INFTEC,1084.15,1279.3,1.41,988.65,986.55,1096.5,901.0,986.55,986.8,981.45,985.6,985.6,981.0,1084.15,887.05,0.95,0.1,64,1020,113169,2017-07-19,09:20:16
6,BSE,WIPRO,295.5,490.0,0.26,272.0,269.6,283.93,205.0,269.6,270.0,271.0,268.65,268.65,269.6,295.5,241.8,0.95,0.35,1102,1171,3513,2017-07-19,09:20:17.000
6,NSE,WIPRO,295.9,517.5,0.98,270.75,269.65,284.0,204.05,269.65,269.8,270.0,269.0,269.0,269.5,295.9,242.1,0.65,0.24,768,187,54012,2017-07-19,09:20:14
7,BSE,SUBSYS,12.15,803.25,4.41,10.26,10.26,13.68,8.25,10.25,10.26,10.2,10.13,10.13,10.2,12.15,8.11,0.13,1.28,3788,27,4023,2017-07-19,09:19:57.000
7,NSE,SUBSYS,12.15,790.0,4.4,10.3,10.3,13.7,8.2,10.25,10.3,10.2,10.15,10.15,10.2,12.15,8.15,0.15,1.48,20995,44547,40277,2017-07-19,09:19:42
7,BSE,HCLINF,66.9,299.95,3.61,57.8,56.2,64.85,37.55,56.15,56.25,57.8,55.75,55.75,55.25,66.9,44.6,0.45,0.81,878,749,406113,2017-07-19,09:20:17.000
7,NSE,HCLINF,66.8,290.0,3.65,57.35,56.2,64.9,37.55,56.15,56.2,56.9,55.7,55.7,55.35,66.8,44.6,0.5,0.9,1300,543,2034713,2017-07-19,09:20:17
5,BSE,GVKPOW,9.28,93.5,4.13,7.91,7.9,9.22,5.05,7.82,7.85,7.72,7.74,7.74,7.72,9.28,6.2,0.16,2.07,2881,6912,32480,2017-07-19,09:20:13.000
5,NSE,GVKPOW,9.2,92.9,4.1,7.9,7.8,9.2,5.0,7.8,7.85,7.9,7.7,7.7,7.8,9.2,6.2,0.1,1.3,66259,49010,98098,2017-07-19,09:20:12
6,BSE,TCS,2645.75,2834.0,209.0,2442.0,2435.4,2740.0,2054.7,2434.2,2434.95,2418.0,2405.25,2405.25,2417.3,2645.75,2164.75,30.15,1.25,180,88,3888,2017-07-19,09:20:18.000
6,NSE,TCS,2649.15,2839.7,207.68,2444.5,2439.15,2744.8,2051.9,2439.6,2440.0,2415.5,2408.35,2408.35,2415.1,2649.15,2167.55,30.8,1.28,1,219,94679,2017-07-19,09:20:16
6,BSE,HDIL,93.3,1113.78,26.1,85.5,85.3,104.65,52.25,85.2,85.4,85.1,84.85,84.85,85.1,93.3,76.4,0.45,0.53,7342,10597,24572,2017-07-19,09:20:17.000
6,NSE,HDIL,93.35,1113.74,26.1,85.5,85.3,104.75,52.3,85.25,85.3,85.15,84.9,84.9,85.15,93.35,76.45,0.4,0.47,5583,5581,281366,2017-07-19,09:20:13
